1,Prof.M.M.Gore   
2,Prof. Suneeta Agarwal
3,Prof. R.S.Yadav 
4,Prof. Neeraj Tyagi
5,Prof. D.S. Kushwaha
6,Prof. Anil Kumar Singh 
7,Prof. D.K.Yadav 
8,Mr. Rajesh Tripathi 
9,Mr. Manoj Wariya   
10,Dr. Mayank Pandey
11,Dr. Anoj Kumar
12,Dr. Krishn K. Mishra 
13,Dr. Ranvijay
14,Dr. Rupesh Kumar Dewang 
15,Dr. Pragya Dwivedi 
16,Dr. Divya Kumar
17,Dr. Dushyant Kumar Singh  
18,Dr. Dinesh Singh  
19,Dr. Shashank Srivastava
20,Dr. Shashwati Banerjea
21,Dr. Rajitha B
22,Dr. Navjot Singh
23,Dr. Dinesh Kumar
24,Dr. Ashish Kumar Maurya
25,Dr. Vibhav Prakash Singh
26,Dr. J Sathish Kumar
27,Dr. Mayukh Sarkar
28,Dr. Shailendra Shukla
29,Dr. Sarsij Tripathi
